Species	Body_weight	Brain_weight_g	Neonate_brain_weight_g	Neocortex_mm^3	GI	Ventricle_mm^3	Maximum_lifespan_yrs	Age_at_first_breeding_F_mnths	Age_at_first_breeding_days	Female_sexual_maturity_days	Male_sexual_maturity_days	Gestation_days	Litter_size	Litters_per_year	Inter-litter_interval_days	Weaning_period_days	Weight_at_birth_g	Weight_at_weaning_g	Juvenility_primates_years	Juvenility_days	Max_home_range_ha	% Fruit and seeds	Activity_timing	Diet_breadth	Trophic_level	Population_group_size	Social_group_size	Adult_head_body_length_mm	Age_at_eye_opening_days	Altricial_precocial	Basal_metaboic_rate	Dispersal_age_days	Habitat_breadth	Social_system	Glia_neuron_ratio	Neuronal_denisty	Glial_cell_denisty	Neurogenic_period_days	Phylo_rank
Tupaia_glis*	173,33	3,03	0,53	NA	1,06	NA	12,40	135,00	4106,25	90	90	46	2,00	NA	45	32	11,07	100,00	NA	4074,25	0,87	NA	3	4	NA	NA	NA	185,00	10,00	1	93,48	NA	2	1	0,81	131826,00	107152,00	NA	57
Ovis_aries	63966,67	125,00	47,82	NA	1,94	NA	22,80	24,00	730,00	548	914	149	1,58	1,00	365	182	2685,00	17500,00	NA	548,00	NA	NA	3	2	1	NA	NA	1297,23	NA	2	NA	NA	1	NA	NA	NA	NA	NA	58
Capra_hircus_domestica*	38111,11	106,00	53,36	NA	2,28	NA	20,80	21,99	668,86	406	685	155	1,38	1,00	451	160	2215,00	NA	NA	508,86	4724,00	NA	3	2	1	NA	NA	NA	NA	2	NA	NA	NA	4	NA	NA	NA	NA	59
Bos_taurus_indicus	596666,67	462,00	201,00	NA	2,53	NA	20,00	NA	NA	548	NA	280	1,00	NA	NA	NA	26122,22	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	60
Odocoileus_virginiatus	87000,00	160,00	NA	NA	2,27	NA	21,60	15,22	462,94	309	417	198	2,00	1,00	304	129	3000,00	36000,00	NA	333,94	229,00	NA	2	4	1	NA	2,25	1513,69	NA	NA	NA	NA	1	3	NA	NA	NA	NA	61
Phocoena_phocoena	55500,00	537,00	199,00	NA	4,13	NA	20,40	48,00	1460,00	1055	1461	333	1,00	1,00	365	243	6750,00	30000,00	NA	1217,00	NA	NA	NA	2	3	4,00	50,00	1530,07	NA	2	NA	NA	1	NA	NA	NA	NA	NA	62
Delphinus_delphis	80000,00	981,00	476,00	NA	3,99	NA	NA	NA	NA	1754	1583	301	1,00	0,40	548	301	7000,00	40000,00	NA	NA	NA	NA	NA	NA	3	365,00	NA	2439,99	NA	2	NA	NA	1	NA	NA	NA	NA	NA	63
Tursiops_truncatus	177500,00	1489,00	770,00	NA	4,76	NA	51,60	60,00	1825,00	2831	3689	362	1,00	0,50	858	548	19675,00	NA	NA	1277,00	8499,00	NA	NA	2	3	7,00	10,00	3257,91	NA	2	NA	NA	1	3	1,55	147911,00	229087,00	NA	64
Pseudorca_crassidens	1360000,00	4444,50	NA	NA	4,97	NA	62,50	NA	NA	3468	6756	451	1,00	0,10	1096	730	NA	NA	NA	NA	NA	NA	NA	2	3	50,00	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	65
Globicephala_macrorhynchus	725999,99	2886,30	NA	NA	5,24	NA	63,00	NA	NA	3470	5332	452	1,00	0,20	1095	730	60000,00	NA	NA	NA	NA	NA	NA	2	3	15,00	NA	6099,99	NA	2	NA	NA	1	NA	NA	NA	NA	NA	66
Grampus_griseus	425000,00	1645,17	NA	NA	4,29	NA	42,50	NA	NA	NA	NA	365	1,00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	10,00	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	67
Sus_scrofa_domesticus	133600,00	137,65	28,30	NA	2,16	NA	NA	NA	NA	NA	NA	117	8,00	5,38	NA	52	1215,00	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	2	NA	NA	1	3	1,45	48978,00	70795,00	NA	68
